epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.6143,0.40099,0.93561,1,0.24643,0.000328283,0.000328283,0.0675
2,20.5712,0.17088,0.78409,1,0.5067,0.000628866,0.000628866,0.0344673
3,24.4273,0.19268,0.6553,1,1.63201,0.000896449,0.000896449,0.0014015
4,28.3997,0.15263,0.5,1,7.12245,0.0008515,0.0008515,0.0008515
5,32.0633,0.16023,1,1,0.01069,0.000802,0.000802,0.000802
6,36.3012,0.10277,1,1,0.00607,0.0007525,0.0007525,0.0007525
7,40.3796,0.10591,1,1,0.00205,0.000703,0.000703,0.000703
8,44.2241,0.09871,0.95455,1,0.07013,0.0006535,0.0006535,0.0006535
9,48.1447,0.08743,0.56061,1,1.8832,0.000604,0.000604,0.000604
10,52.2347,0.08456,1,1,0.00242,0.0005545,0.0005545,0.0005545
